[1:18:31] 新入り_: あ
[1:19:13] leon_10_09: つよ🎵
[1:20:03] 絶壁の錬金術師: 怒涛の？
[1:20:15] leon_10_09: www
[1:20:47] fisicna: 虫の折るスピードやばいよね
[1:21:13] ようすい: 虫あまりにも不快
[1:21:40] bi_takun: bi_takun subscribed at Tier 1. They've subscribed for 2 months! 
[1:22:20] 新入り_: wwwwww
[1:22:52] agentttt_: agentttt_ subscribed with Prime. They've subscribed for 12 months! 
[1:22:55] wamyok: www
[1:23:02] hush0908: おかしくなっちゃった
[1:23:19] yu_8686: ないすぅGG
[1:23:23] yayoi_1080: gg
[1:23:25] mahiro2000: ないすGG
[1:23:25] ohitashi610: こんはるー
[1:23:28] leon_10_09: わちゃわちゃwww
[1:23:31] 瓜うじ: GG
[1:23:35] ようすい: gg
[1:23:43] maccha_b7: GG
[1:23:57] takuver56: gg
[1:24:39] 絶壁の錬金術師: 敵の味方のヤスオ
[1:24:46] そう94: 10デスからスタートになるよね
[1:25:40] showwhatman: 結果ヤスオ使うならヨネをおすすめされるんだよね
[1:25:48] Jasonstathaman: ウルトの物理防御貫通がやばい
[1:26:15] motunav: wwww
[1:26:20] n_whitebear: 顔変わってないは草
[1:26:22] yu_8686: www
[1:26:29] 絶壁の錬金術師: ヤ、スオ
[1:29:20] matukodo: てぃ、ーも
[1:30:05] ジブタロ: ヤスアナｗ
[1:30:48] kon_0_vv: それ使ってるけど設置音かわいい
[1:34:10] rento500: ヤスオRってノックアップした奴に反応するんだけど、ダイアナのスキル説明はプルなのになぜか反応するのよな
[1:35:43] エネクト: フック当てるなあ
[1:35:44] kpdiwmgmg: 一瞬でも地面から離れてればいいんだっけ？
[1:36:06] いつもの終: きもちよ～
[1:37:18] rento500: ５分でCS差２０ｗ
[1:38:13] rento500: Ｒか？
[1:39:14] motunav: おぼさんうまいなｗ
[1:39:58] takuver56: おぼハル楽しそうやなw
[1:40:52] motunav: ｗｗｗｗｗ
[1:40:56] himajin456: w
[1:40:57] wamyok: 楽しそうだww
[1:40:58] 絶壁の錬金術師: ｗｗｗｗｗｗｗｗ
[1:41:01] yusaku301103: wwww
[1:41:07] もちゃまる1003: lolヤクザww
[1:41:10] 瓜うじ: www
[1:41:30] saku_o_saku: BIGURTだぁ…
[1:42:58] rento500: ぜラスＲあるかと思ったらまだ５だったｗ
[1:43:02] hush0908: ﾎﾟｲｯ
[1:43:13] motunav: 性格わっるwww
[1:43:20] yu_8686: www
[1:43:21] yuuuuuumi0410: こんはる
[1:43:24] himajin456: おぅ…w
[1:43:35] zucchini314: BOT崩壊
[1:44:49] motunav: あーあ
[1:44:55] いつもの終: まだ味する？
[1:45:28] motunav: ｗｗｗ
[1:45:32] himajin456: あれ？
[1:45:34] yu_8686: ないすぅGG
[1:45:37] 絶壁の錬金術師: GG
[1:45:37] hush0908: BOTしか崩壊してないのに
[1:45:37] momizi_11: GG
[1:45:39] 瓜うじ: あっ
[1:45:39] てんゆー: 折れちゃったｗ
[1:45:40] delisalt0166: 早期降参でちゃったww
[1:45:42] wamyok: ボコリすぎたw
[1:45:43] mahiro2000: ないすGG
[1:45:43] maccha_b7: GG
[1:46:12] zucchini314: GG ちょっとかわいそうではあったよ
[1:47:10] 絶壁の錬金術師: 草
[1:48:52] rento500: テルミヌスヴェルベスやらない？ｗ
[1:50:07] Jasonstathaman: 令和チャンプ
[1:50:27] rento500: 増加ARMRでスキルダメが上がるタイプです
[1:50:39] himajin456: 味しなくなったのか
[1:52:59] あゆ_まる: こんはる
[1:54:19] Jasonstathaman: 自動効果では？
[1:57:49] motunav: ナイス逃げw
[1:57:51] hush0908: すいすい～ｗ
[1:57:56] himajin456: よく逃げれたなw
[2:00:08] hush0908: ｗｗｗ
[2:02:45] rento500: まあカシオペアの場合靴が履けないのもメリットというか
[2:03:44] himajin456: ケチとは違うような？w
[2:04:48] wamyok: www
[2:06:19] himajin456: w
[2:09:20] himajin456: うわあ
[2:09:52] wamyok: ｶｴﾙ！
[2:10:47] いつもの終: 全域赤ちゃんアルマジロ攻撃
[2:11:46] himajin456: www
[2:12:23] hush0908: ｗｗｗｗ
[2:12:26] himajin456: はっやw
[2:12:32] yuuki_itinomiya: はやすぎwwww
[2:12:41] yu_8686: ないすぅGG
[2:12:47] てんゆー: あんなんにげれんｗ
[2:12:48] haluol: はっやw
[2:12:52] rento500: いろいろ速度上がるアイテム積む前なんだけどなぁｗ
[2:12:56] himajin456: アレはあかんw
[2:13:07] mahiro2000: GG
[2:13:09] haluol: gg
[2:14:36] aden_1067: WWはwのパッシブでローヘルスの敵に対するMSとASが上がるので、それ使ってガンクする感じすね。あとパッシブで殴り合う時のサステインがえぐいので、ビビると負けます。
[2:15:10] delisalt0166: ジェイス使わないほうが驚くほど盛れる男
[2:16:23] rento500: 涙スタートは今マジきついといわれており
[2:18:20] いつもの終: あ、あれ？
[2:18:59] rento500: な、なぜ
[2:21:38] himajin456: つまみ食い？
[2:22:11] rento500: ５と６がやばいから１～２をつまみ食いは別に悪いことじゃない
[2:25:02] yuru_428: doesnt know Q is main i gues
[2:27:16] yuru_428: R is just jump and bite
[2:28:05] kpdiwmgmg: あとめっちゃ防御上がる
[2:28:36] himajin456: めっちゃ狙ってたな
[2:29:42] himajin456: あらー
[2:30:23] yuru_428: Q will heal more if maxed and tower shot was ok if used E
[2:34:42] himajin456: w
[2:36:05] wamyok: かみーとw
[2:36:34] himajin456: シャチホコw
[2:39:30] rento500: AS上限が唯一存在しない
[2:41:09] himajin456: まっずい
[2:41:35] mahiro2000: nf
[2:41:48] tokeaoi3: nf
[2:41:52] himajin456: nf
[2:41:54] haluol: nf
[2:45:41] fisicna: レーンべったりなっちゃうよね
[2:48:45] 瓜うじ: www
[2:49:45] yu_8686: www
[3:03:02] yozaki_rei1006: こんはる〜
[3:03:46] 芝猫: 芝猫 subscribed with Prime. They've subscribed for 35 months! 
[3:05:58] 瓜うじ: そんなことできるんや
[3:10:23] yozaki_rei1006: ナイスー！
[3:10:25] wamyok: おおお
[3:10:34] k_white0529: ナイスゥ
[3:11:07] おれ観測者だったわ: 勝ったな、風呂入るわ
[3:11:09] 瓜うじ: ないすぅ
[3:11:17] kantera3: ないす
[3:11:27] kuroto0071: 脅威がマジで強いよね
[3:16:05] kuroto0071: 3200円なり
[3:19:46] hush0908: わーお
[3:19:51] yusaku301103: わーお
[3:19:59] kuroto0071: GG
[3:20:05] hush0908: ｇｇ
[3:20:08] wamyok: gg
[3:20:17] yozaki_rei1006: gg
[3:20:21] maccha_b7: ナイスGG
[3:20:26] yusaku301103: GG
[3:20:29] kantera3: gg
[3:20:34] zucchini314: GG
[3:20:37] ryino__: gg
[3:20:53] hush0908: 5万ｗ
[3:22:32] onigirimarun: スノボいいなー
[3:22:32] hush0908: おおー
[3:24:39] hush0908: 脱法過ぎない？ｗ
[3:26:02] kuroto0071: アジール見てておもろい
[3:29:01] nakatyyy1570: :)
[3:30:07] motunav: shibuy3Kusa
[3:38:32] himajin456: わぁ
[3:39:00] takun25: こんはる
[3:39:10] ゲルトルート: ナイス！
[3:39:13] hush0908: ビックリシンジャオ
[3:39:14] himajin456: ないすー
[3:39:24] kantera3: ないすー
[3:39:30] himajin456: ええー！？
[3:39:46] wamyok: gg
[3:39:48] kantera3: はや
[3:39:52] himajin456: 降参早かった…
[3:39:53] hush0908: え？ｗ
[3:43:01] himajin456: お疲れ様〜
[3:43:06] c___m_l: お疲れ様でした～
[3:43:12] momizi_11: お疲れ様でした〜
[3:43:22] kantera3: おつ
[3:43:22] hush0908: お疲れさまー
[3:43:24] minyan_1103: お疲れ様でした！
[3:43:28] himajin456: 睡眠大事ー
[3:43:29] aqua12344321: 外出て
[3:43:34] wamyok: 寝れるといいねぇ
[3:43:43] マツリカ: 良質な睡眠てむじゅいんよねぇ
[3:43:46] 瓜うじ: お疲れ様でした〜太陽の光は大事
[3:43:46] ryino__: 睡眠大切よ
