[0:03:27] cafelatte_12: お前のフレ欄強すぎだろ
[0:03:30] ミりン: え！？
[0:03:31] as_desu: すご
[0:03:33] つっきー3355: え！？
[0:03:33] tony_tgr: えぐ
[0:03:33] ピーまん: すっご
[0:03:35] kajokajoka: すご
[0:03:35] hinakoooo_fn: まじか
[0:03:35] せるびす: おおー
[0:03:36] 呂布カルパス: ええええええ
[0:03:36] donguri_hs: えぐ
[0:03:37] novanew99: なんてなんて
[0:03:37] corgi_green: 友達じゃん
[0:03:41] ミりン: なんて来たの？笑
[0:03:41] monakaxyz: なんて返ってきたの
[0:03:44] tyyytws: ｗｗｗｗｗｗ
[0:03:45] つっきー3355: ダチやん
[0:03:47] メルドン: これは頑張らないとあかんなブランカ
[0:03:48] ピーまん: ｗｗｗ
[0:03:49] pandasan_power: w
[0:03:50] つっきー3355: wwww
[0:03:50] hinakoooo_fn: wwwww
[0:03:51] 呂布カルパス: wwwww
[0:03:51] ゆりぴっぴ: wwww
[0:03:53] novanew99: 認知されてます
[0:03:54] ミりン: 🦍
[0:03:56] moukuso: おお
[0:03:58] ほしすたいる: おお
[0:03:59] sumo_102: ニシキンさんとメナがフレンド欄にいる謎のストリーマー
[0:03:59] tanakeeen: 两两とwolf gangフレいこうぜ
[0:04:03] Nightbot: 切り抜き動画(>^.^)> https://www.youtube.com/@takagikirinukidouga/videos
[0:04:08] むつっきー: うおおおおおlolだあああ
[0:04:09] as_desu: そうだな
[0:04:14] corgi_green: ロル勢にも自慢いくぞおおおお
[0:04:14] 呂布カルパス: 行くしかねえな
[0:04:14] ryu5ei_: よお
[0:04:18] つっきー3355: はやww
[0:04:19] おむだお: ほかには誰いるの
[0:04:22] lelelele4415: wwwww
[0:04:24] hinakoooo_fn: おお
[0:04:33] toto05055: LOL勢の引き摺り込みがすごいな
[0:04:36] ピーまん: ｗｗｗｗｗｗｗ
[0:04:37] monakaxyz: CRカップ最高だったな
[0:04:40] pandasan_power: w
[0:04:44] 非公式お兄さんフニュー: 多分今モダンの方が強い
[0:04:45] kajokajoka: www
[0:04:46] iytreszhii: どぐらさんのブランカ凄かったな
[0:04:56] monakaxyz: 釣られたかw
[0:05:03] yoooooowwwe: 吸収力高すぎて
[0:05:09] hinakoooo_fn: シュートさんと少し戦えてたのすごかったけどな
[0:05:19] empirenow57: よお
[0:05:31] しめじ茸: 名前w
[0:05:34] corgi_green: 高木にもOD電撃あたってたな
[0:05:41] pandasan_power: ぼんちゃんが高床式見て、なんて技を仕込まれてるんだ…って言ってたぞ
[0:05:42] 冴羽リョウ: 相手視点の人形コンボの反応よかった
