[0:08:18] flugel1091: 今振り向くなよ〜
[0:08:22] 気分良く: 後ろからのやつねw
[0:08:22] komomo_beans: ww
[0:08:23] d0kur0_: 裏見てるのえらとか
[0:08:27] 立派なマシュマロ: 走り撃ちかよ
[0:08:30] ハク1221: それは内緒だよ(ｏ'3')b ｼ――――!!
[0:08:36] yagi_ais: ｗｗｗｗｗ
[0:08:40] euphorp: 「タイミング〜！！」
[0:08:42] SANJi_3_00: 実はね
[0:08:47] akagitakenorii: ww
[0:08:48] yagi_ais: ｗｗｗｗｗｗｗｗｗｗ
[0:08:48] faiba2525: 自分は悪くない
[0:08:50] hinadani: 笑
[0:08:52] _のり: あじゃのミラー配信ハマりそう
[0:09:06] faiba2525: 上かよー
[0:09:09] hbjto7: 上かよー
[0:09:14] flugel1091: 上かよ〜もらいました
[0:09:15] dmwmnm: 上かよー
[0:09:16] ﾄｲ: 上かよーwwwwww
[0:09:23] yagi_ais: ｗｗｗｗｗｗｗ
[0:09:39] _のり: 意識するともうダメだw
[0:09:44] ハヤシだよ: 裸オペやめてね
[0:09:47] faiba2525: 全部そうに聞こえちゃう
[0:09:47] erf235: ノーアーマーは審議です
[0:09:48] hinadani: 論点のすり替えね笑
[0:09:49] 立派なマシュマロ: もうやめたげてよw
[0:09:49] furikake_shot: やあやあやあやあ
[0:09:49] slr0n: ノーアーマーオペww
[0:09:51] ﾄｲ: 裸オペ
[0:09:51] トリシューラ: 置きだけじゃなくてエリア広げてくれるからこそ許されるチェンよね
[0:09:52] yagi_ais: オペ真ん中に置いてるのに「右かー」とか言って欲しいｗｗｗ
[0:10:00] rkt2323: ここまでオペ買いまくるチェンバーガチ好き
[0:10:07] ぴくしあ: ヴァンダル買えば勝てるよww
[0:10:07] nayuutm: あんま
[0:10:09] teydbdudbdieh: かわないよ
[0:10:10] よおおおお: まれに
[0:10:10] つ季: いつもこれだよ
[0:10:13] 気分良く: たまに
[0:10:14] yagi_ais: 稀に
[0:10:15] chiro_28: たまに
[0:10:15] hiroe_29: 相手がエコの時なら！
[0:10:19] ih1232ze: オペ買えない時は買う
[0:10:19] トドのつまり: 相手がエコの時くらい？
[0:10:19] トリシューラ: 3rdの時
[0:10:19] nayuutm: マーシャルかおぺ
[0:10:24] スカッシュレモン: 3rd
[0:10:24] ハヤシだよ: w
[0:10:26] furikake_shot: つよいおにやのイメージ
[0:10:26] yagi_ais: ｗｗｗｗ
[0:10:27] 38号: 最近はアウトローかってるよ
[0:10:30] ﾄｲ: wwwwww
[0:10:30] erf235: アプデ前です彼
[0:10:32] SANJi_3_00: あんたが好きな窓だよw
[0:10:36] yagi_ais: あなたさっき乗ってましたよ
[0:10:38] faiba2525: 何であそこの窓開けたんだろ
[0:10:45] ayugonn: アウトロー出てから余計に買わなくなった
[0:10:47] ritalovecat: アラボ買わないで裸オペの時もあるで
[0:10:59] maskedrider201: 買ってもバッキーとか？
[0:11:09] dorade40: サモリフに籠ってたせいでmapが
[0:11:10] 気分良く: ジェットとあいその時は買ってた
[0:11:13] yagi_ais: ｗｗｗｗ
[0:11:39] 立派なマシュマロ: フルオート上手くなる伸びしろあるじゃん
[0:11:46] 初動激戦区降り御免早漏: 人のやつだからいいたい放題でおもろいw
[0:11:50] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[0:11:52] SANJi_3_00: あ
[0:11:53] faiba2525: オペくれない
[0:11:54] ハヤシだよ: あ
[0:11:56] 初動激戦区降り御免早漏: www
[0:11:56] _のり: こんな配信定期的に頼む
[0:11:57] たもー: ｗｗｗ
[0:11:59] ﾄｲ: wwwwww
[0:12:00] hidechan00: ajak0nTe3
[0:12:01] financier29: ｗｗｗｗｗｗｗｗ
[0:12:09] あやかた: いつもの
[0:12:10] faiba2525: 意地でもAR買わない
[0:12:11] nnn020803: 攻めジャッジ？
[0:12:12] ハヤシだよ: バイが終わってるな
[0:12:14] 初動激戦区降り御免早漏: でもかみーとジャッジのイメージある
[0:12:14] erf235: バイ合わせもしません
[0:12:14] いちみく: いつもそんな感じ
[0:12:16] marita1126: そうだよw
[0:12:18] 丸もちお雑煮: マーシャルにしろよ
[0:12:22] 蓬団子: ARは諦めたんです
[0:12:23] euphorp: この異質さたまらん
[0:12:24] akagitakenorii: ww
[0:12:27] longbowfujinami: ティルティルしてきた
[0:12:31] ぴくしあ: 申し訳ないけど味方に絶対に来て欲しくないww
[0:12:34] SANJi_3_00: 壊れちゃったチームが
[0:12:36] yagi_ais: 落とす待ちやめろまじでｗｗｗ
[0:12:36] ヒなた: 落とすの待ってない？
[0:12:38] u2ura08: オペかジャッジ、ピックはチェンバー
[0:12:39] 立派なマシュマロ: この野良いやだw
[0:12:39] nnn020803: これ抜かれるのまってるぞ
[0:12:42] marita1126: www
[0:12:47] ハヤシだよ: 味方にこないでね
[0:12:48] yagi_ais: ？？？？？ｗｗｗｗｗｗ
[0:12:50] erf235: 普通にこんなチェン来たら、
[0:12:50] akagitakenorii: なにやってるw
[0:12:50] faiba2525: え
[0:12:51] 0yki0: wwww
[0:12:52] _のり: ？！
[0:12:53] かんがるー_ひま: wwwwww
[0:12:54] マスク大佐: ｗｗｗ
[0:12:55] ハヤシだよ: ？？？
[0:12:55] nimudesu: wwwwww
[0:12:55] ぴくしあ: なにしとるw
[0:12:57] たもー: ｗｗｗｗｗｗ
[0:12:57] まろにーー: 武器交換もロクにできません
[0:12:57] mqhoro: ｗｗｗ
[0:12:57] 丸もちお雑煮: ガチトロールだろ
[0:12:57] ﾄｲ: ！？
[0:12:59] 初動激戦区降り御免早漏: やっぱハズレか？
[0:13:00] euphorp: 今のおもろいw
[0:13:04] marita1126: wwwwww
[0:13:05] slr0n: 彼は真面目です
[0:13:08] かんがるー_ひま: ハンドガンなくなったwww
[0:13:11] erf235: 通報もんだろ
[0:13:16] rkt2323: これレイナ死ぬの待ってただろwwwwww
[0:13:17] 리リンチャン: あじゃおはよ PopNemo PopNemo
[0:13:19] nnn020803: ww
[0:13:20] momo_ten___: momo_ten___ subscribed with Prime. They've subscribed for 5 months! 今月もよろしくです ajak0nTe3
[0:13:20] ハヤシだよ: ARへった
[0:13:25] yagi_ais: お
[0:13:28] SANJi_3_00: バイがww
[0:13:29] ぴくしあ: かえってw
[0:13:31] yagi_ais: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[0:13:32] まろにーー: ｗｗｗｗ
[0:13:32] こんにちわとそん: ｗｗｗ
[0:13:33] kuro9615000: www
[0:13:33] マスク大佐: ｗｗｗｗｗｗｗｗ
[0:13:33] 蓬団子: wwwwwww
[0:13:33] みっどてんぽ: ｗｗｗ
[0:13:34] りりだよだよ: wwwwwwwwwwwwwwwwwwww
[0:13:34] たもー: ｗｗｗｗｗｗｗｗｗｗｗｗ
